hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,agent,customer_type,adr,required_car_parking_spaces,total_of_special_requests,adr_bin,is_international
City Hotel,0,116,2017,March,0,2,0,0,BB,FRA,Groups,TA/TO,0,0,0,A,0,No Deposit,171,Transient-Party,100.0,0,1,51-100,True
City Hotel,1,20,2016,March,2,1,0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,85.0,0,0,51-100,True
City Hotel,0,2,2017,July,2,0,0,0,SC,RUS,Online TA,TA/TO,0,0,0,A,1,No Deposit,9,Transient-Party,22.86,0,1,0-50,True
City Hotel,0,62,2016,July,0,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,9,Transient,146.7,1,2,101-150,True
Resort Hotel,1,4,2015,October,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,175,Transient,58.0,0,1,51-100,True
Resort Hotel,0,252,2016,May,0,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,40,Contract,0.0,0,0,,True
Resort Hotel,0,0,2015,December,0,2,0,0,BB,NLD,Direct,Direct,0,0,0,D,0,No Deposit,0,Transient,43.0,0,0,0-50,True
City Hotel,1,102,2017,May,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,85,Transient,119.52,0,0,101-150,True
Resort Hotel,0,1,2017,April,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,0,No Deposit,0,Transient-Party,0.0,0,0,,True
City Hotel,1,201,2017,June,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,110.0,0,0,101-150,True
Resort Hotel,0,57,2015,November,0,1,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,36.0,0,1,0-50,True
City Hotel,1,56,2017,February,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,29,Transient,60.0,0,0,51-100,True
City Hotel,0,98,2016,April,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,2,No Deposit,9,Transient-Party,109.81,0,0,101-150,True
Resort Hotel,0,46,2016,March,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,48.0,0,2,0-50,True
City Hotel,0,36,2017,August,0,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,200.0,0,2,150+,True
Resort Hotel,1,313,2017,June,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,243,Contract,56.7,0,2,51-100,True
City Hotel,0,7,2016,April,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,75.0,0,1,51-100,True
City Hotel,0,190,2016,April,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,3,Transient-Party,70.0,0,1,51-100,True
City Hotel,0,107,2016,December,1,2,0,0,SC,AUT,Online TA,TA/TO,0,0,0,A,0,No Deposit,7,Transient,61.09,0,1,51-100,True
City Hotel,0,87,2017,May,0,2,0,0,BB,AUS,Direct,Direct,0,0,0,A,0,No Deposit,14,Transient,108.0,0,1,101-150,True
Resort Hotel,0,7,2016,December,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,8,A,0,No Deposit,0,Transient,42.0,1,0,0-50,True
City Hotel,0,8,2016,March,0,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,139.0,0,1,101-150,True
City Hotel,0,7,2017,April,0,3,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,0,No Deposit,9,Transient,269.0,1,2,150+,True
City Hotel,1,87,2015,September,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,1,Transient,170.0,0,0,150+,True
City Hotel,1,225,2017,April,1,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,99.0,0,0,51-100,True
City Hotel,0,53,2016,May,0,2,0,0,SC,IND,Online TA,TA/TO,0,0,0,A,2,No Deposit,7,Transient,89.4,0,2,51-100,True
City Hotel,1,172,2016,June,0,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,34,Transient-Party,95.0,0,0,51-100,True
Resort Hotel,0,3,2016,December,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient-Party,39.0,0,1,0-50,True
City Hotel,0,8,2016,February,0,1,0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,80.0,0,0,51-100,True
Resort Hotel,0,0,2016,June,0,2,0,0,BB,PRT,Direct,Direct,1,0,1,F,0,No Deposit,0,Transient,169.0,0,0,150+,True
City Hotel,1,143,2017,May,0,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,56,Transient,110.0,0,0,101-150,True
City Hotel,1,229,2017,July,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,110.0,0,0,101-150,True
Resort Hotel,0,34,2016,March,2,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,2,Contract,55.0,0,0,51-100,True
City Hotel,1,110,2016,October,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,4,No Deposit,234,Transient-Party,130.0,0,2,101-150,True
City Hotel,0,158,2017,March,1,1,0,0,BB,ISR,Groups,TA/TO,0,0,0,A,0,No Deposit,37,Transient-Party,85.0,0,1,51-100,True
City Hotel,1,364,2015,October,0,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,0,Non Refund,6,Transient-Party,101.5,0,0,101-150,True
City Hotel,0,56,2015,September,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,44,Transient-Party,185.0,0,0,150+,True
Resort Hotel,0,41,2016,January,0,2,0,0,BB,GBR,Direct,Direct,0,0,0,A,0,No Deposit,250,Transient,54.0,1,2,51-100,True
Resort Hotel,0,5,2016,February,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,171,Transient,55.0,0,0,51-100,True
City Hotel,1,307,2015,August,0,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,1,Contract,62.0,0,0,51-100,True
City Hotel,1,87,2017,June,0,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,152.0,0,0,150+,True
Resort Hotel,0,64,2016,May,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,1,No Deposit,0,Transient,50.0,0,1,0-50,True
City Hotel,1,414,2015,December,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,1,Transient,62.0,0,0,51-100,True
City Hotel,0,14,2016,June,0,1,0,0,BB,USA,Direct,Direct,0,0,0,D,0,No Deposit,14,Transient,120.7,0,0,101-150,True
Resort Hotel,0,82,2017,June,2,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,E,0,No Deposit,240,Transient,152.0,0,1,150+,True
Resort Hotel,1,21,2017,April,1,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,C,0,No Deposit,240,Transient,120.0,0,2,101-150,True
Resort Hotel,0,26,2016,March,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,0,No Deposit,241,Transient,52.23,0,2,51-100,True
City Hotel,1,123,2016,September,1,3,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,0,No Deposit,9,Transient,162.0,0,0,150+,True
City Hotel,0,10,2016,July,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,15,A,0,No Deposit,0,Transient,65.0,0,1,51-100,True
City Hotel,0,28,2015,October,1,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Contract,99.87,0,2,51-100,True
City Hotel,0,186,2016,July,2,3,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,22,Transient,96.9,0,1,51-100,True
City Hotel,1,80,2016,March,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,118,Transient,106.2,0,1,101-150,True
City Hotel,1,86,2015,October,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,0,No Deposit,1,Transient-Party,86.0,0,0,51-100,True
City Hotel,1,393,2016,March,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,1,Non Refund,1,Transient,70.53,0,0,51-100,True
Resort Hotel,1,352,2017,August,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,190.96,0,1,150+,True
City Hotel,1,29,2017,April,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,8,Transient,115.0,0,1,101-150,True
City Hotel,1,40,2017,January,2,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,8,Transient,74.8,0,0,51-100,True
City Hotel,1,281,2015,July,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,No Deposit,1,Transient-Party,62.0,0,0,51-100,True
City Hotel,0,52,2016,May,1,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,138,Transient,85.0,0,0,51-100,True
City Hotel,0,6,2017,February,1,2,0,0,BB,GBR,Direct,Direct,0,0,0,A,1,No Deposit,14,Transient,98.0,0,0,51-100,True
Resort Hotel,0,0,2017,January,1,2,0,0,BB,ITA,Direct,TA/TO,1,0,0,A,0,No Deposit,0,Transient-Party,45.0,0,2,0-50,True
City Hotel,0,47,2017,May,1,1,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,455,Transient-Party,134.5,0,0,101-150,True
City Hotel,0,346,2016,September,0,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,6,Transient-Party,115.0,0,1,101-150,True
Resort Hotel,0,188,2017,August,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,174.55,0,2,150+,True
Resort Hotel,0,53,2015,December,0,2,2,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,C,0,No Deposit,5,Transient,221.2,1,0,150+,True
Resort Hotel,0,11,2015,December,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,48.0,0,1,0-50,True
City Hotel,0,96,2016,April,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,1,No Deposit,9,Transient-Party,87.55,0,1,51-100,True
City Hotel,0,0,2016,June,0,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,107.0,0,0,101-150,True
City Hotel,0,5,2015,October,1,2,0,0,BB,POL,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,112,Transient-Party,90.0,0,0,51-100,True
City Hotel,0,87,2016,February,1,2,0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Contract,78.5,0,1,51-100,True
City Hotel,1,182,2017,July,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,7,Transient,82.47,0,1,51-100,True
Resort Hotel,0,112,2015,December,0,2,0,0,Undefined,PRT,Groups,Direct,0,0,0,A,0,No Deposit,0,Transient-Party,224.67,0,0,150+,True
City Hotel,0,20,2017,March,1,1,0,0,BB,FRA,Groups,TA/TO,0,0,0,A,0,No Deposit,254,Transient-Party,178.0,0,0,150+,True
City Hotel,0,1,2017,August,1,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,80.1,0,1,51-100,True
City Hotel,1,86,2016,January,0,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,29,Transient,85.0,0,0,51-100,True
City Hotel,0,3,2016,July,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,0,No Deposit,14,Transient,118.15,0,0,101-150,True
Resort Hotel,0,18,2016,October,0,2,0,0,BB,GBR,Direct,Direct,0,0,1,A,0,No Deposit,0,Transient,0.0,0,1,,True
City Hotel,0,0,2015,September,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,1,No Deposit,9,Transient,124.0,0,1,101-150,True
City Hotel,0,19,2016,November,2,2,0,0,BB,NOR,Online TA,TA/TO,0,0,0,D,0,No Deposit,9,Transient,119.33,0,2,101-150,True
City Hotel,1,304,2016,November,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,21,Transient,89.0,0,0,51-100,True
City Hotel,1,10,2016,April,1,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,174.0,0,1,150+,True
City Hotel,0,102,2017,June,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient-Party,135.0,1,0,101-150,True
City Hotel,0,55,2016,August,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,168,Transient,85.5,0,0,51-100,True
Resort Hotel,0,1,2017,May,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,0,No Deposit,0,Transient,75.0,0,0,51-100,True
Resort Hotel,0,159,2017,June,0,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,251,Transient-Party,80.0,0,1,51-100,True
Resort Hotel,0,195,2017,July,2,2,1,0,BB,PRT,Direct,Direct,0,0,0,A,1,No Deposit,250,Transient,153.38,0,0,150+,True
Resort Hotel,0,152,2017,April,2,3,0,0,BB,GBR,Groups,TA/TO,0,0,0,A,3,No Deposit,0,Transient-Party,68.0,0,0,51-100,True
City Hotel,0,56,2016,June,0,2,0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,0,No Deposit,7,Transient,76.92,0,1,51-100,True
City Hotel,0,1,2016,March,0,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,97.0,0,1,51-100,True
City Hotel,0,0,2015,August,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,75.0,0,0,51-100,True
Resort Hotel,0,27,2017,July,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,0,No Deposit,0,Transient,142.0,0,0,101-150,True
Resort Hotel,1,0,2017,January,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,5,A,0,No Deposit,0,Transient,35.0,0,0,0-50,True
City Hotel,0,5,2016,May,1,1,0,0,BB,USA,Corporate,Corporate,0,0,0,A,0,No Deposit,150,Transient-Party,98.32,0,0,51-100,True
City Hotel,0,11,2016,September,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,7,Transient,145.53,0,2,101-150,True
Resort Hotel,0,0,2016,October,0,2,0,0,BB,CN,Direct,Direct,0,0,0,E,0,No Deposit,0,Transient,96.0,1,0,51-100,True
Resort Hotel,0,4,2015,December,0,2,0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,48.0,0,0,0-50,True
Resort Hotel,1,215,2016,September,1,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,112.0,0,1,101-150,True
City Hotel,1,161,2016,March,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,12,Transient,130.0,0,0,101-150,True
City Hotel,1,78,2017,July,1,3,0,0,BB,IRN,Online TA,TA/TO,0,0,0,D,0,No Deposit,9,Transient,190.0,0,1,150+,True
City Hotel,0,207,2017,July,2,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,0,No Deposit,7,Transient,95.46,0,1,51-100,True
City Hotel,1,157,2016,March,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Contract,106.2,0,2,101-150,True
City Hotel,0,157,2016,December,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,83,Transient-Party,68.0,0,0,51-100,True
City Hotel,0,49,2016,October,0,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,22,Transient,85.5,0,0,51-100,True
City Hotel,0,15,2016,October,0,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,1,No Deposit,9,Transient,180.0,0,2,150+,True
City Hotel,0,23,2017,May,2,2,0,0,BB,CN,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,170.0,0,2,150+,True
Resort Hotel,1,3,2016,February,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,75.0,0,0,51-100,True
Resort Hotel,0,1,2016,July,0,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,0,No Deposit,0,Transient,149.0,0,0,101-150,True
City Hotel,0,20,2017,May,0,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,0,No Deposit,7,Transient,144.4,0,1,101-150,True
City Hotel,1,277,2016,November,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,100.0,0,0,51-100,True
City Hotel,1,344,2017,July,1,2,0,0,SC,HUN,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,89.1,0,1,51-100,True
Resort Hotel,1,60,2016,April,2,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,1,No Deposit,240,Transient,89.0,0,2,51-100,True
City Hotel,1,28,2015,October,0,2,0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,0,No Deposit,9,Contract,113.3,0,1,101-150,True
City Hotel,1,79,2017,July,1,2,0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,124.0,0,0,101-150,True
City Hotel,1,77,2017,August,0,3,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,0,No Deposit,9,Transient,200.0,0,0,150+,True
City Hotel,1,281,2016,April,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,1,Transient,62.0,0,0,51-100,True
City Hotel,0,23,2017,May,0,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,85,Transient,137.0,0,0,101-150,True
Resort Hotel,0,0,2015,December,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,43.0,0,1,0-50,True
City Hotel,1,15,2016,March,0,2,2,0,BB,AZE,Online TA,TA/TO,0,0,0,B,0,No Deposit,9,Transient,83.03,0,0,51-100,True
City Hotel,1,2,2016,December,0,2,0,0,BB,PRT,Corporate,Corporate,1,1,2,A,0,No Deposit,0,Transient,75.0,0,0,51-100,True
Resort Hotel,0,17,2016,February,0,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,45.0,1,0,0-50,True
City Hotel,1,0,2015,August,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,90.0,0,0,51-100,True
City Hotel,0,34,2016,December,0,2,0,0,SC,TUR,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,88.0,0,2,51-100,True
City Hotel,0,16,2017,March,0,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,28,Contract,68.0,0,0,51-100,True
City Hotel,0,8,2015,September,0,2,0,1,BB,PRT,Online TA,TA/TO,0,0,0,D,1,No Deposit,7,Transient,92.4,0,3,51-100,True
City Hotel,0,183,2016,August,0,3,0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,1,No Deposit,9,Transient,187.5,0,0,150+,True
City Hotel,0,22,2017,June,2,1,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,7,Transient,95.2,0,1,51-100,True
Resort Hotel,0,1,2017,March,0,1,0,0,BB,PRT,Direct,Direct,1,0,3,D,0,No Deposit,0,Transient,48.0,0,0,0-50,True
City Hotel,1,63,2017,February,0,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,79.2,0,1,51-100,True
City Hotel,1,53,2016,September,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,37,Transient,105.0,0,0,101-150,True
City Hotel,0,58,2016,November,0,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,28,Transient,75.0,0,0,51-100,True
City Hotel,1,9,2016,January,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,87.0,0,0,51-100,True
Resort Hotel,1,0,2016,March,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,0,No Deposit,0,Transient,30.0,0,0,0-50,True
City Hotel,0,57,2016,December,0,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,96.6,0,1,51-100,True
City Hotel,1,297,2015,August,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,1,Contract,62.0,0,0,51-100,True
Resort Hotel,0,0,2016,February,0,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,40.0,0,0,0-50,True
City Hotel,1,86,2016,October,1,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,90.23,0,0,51-100,True
Resort Hotel,0,61,2016,December,4,2,0,0,Undefined,FRA,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,464,Transient,82.29,0,0,51-100,True
City Hotel,1,205,2016,July,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient-Party,90.95,0,0,51-100,True
City Hotel,1,55,2017,March,2,2,0,0,BB,AZE,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,91.8,0,0,51-100,True
Resort Hotel,1,16,2016,December,0,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,60.0,0,2,51-100,True
Resort Hotel,1,7,2016,March,0,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,242,Transient,43.0,0,1,0-50,True
Resort Hotel,0,0,2016,October,0,2,0,0,BB,BEL,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,130.0,0,0,101-150,True
Resort Hotel,0,126,2016,August,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,240,Transient-Party,211.0,1,1,150+,True
Resort Hotel,1,214,2015,October,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,0,No Deposit,208,Transient,34.0,0,0,0-50,True
City Hotel,0,41,2017,March,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,0,No Deposit,9,Transient,100.3,0,0,101-150,True
City Hotel,0,48,2017,February,0,1,0,0,BB,ESP,Groups,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,65.0,0,1,51-100,True
City Hotel,0,56,2017,March,1,2,0,0,BB,IRL,Direct,Direct,0,0,0,B,1,No Deposit,14,Transient-Party,79.74,0,0,51-100,True
City Hotel,0,201,2017,May,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,125.1,0,5,101-150,True
City Hotel,1,26,2016,February,1,2,2,0,BB,CHN,Online TA,TA/TO,0,0,0,F,0,No Deposit,9,Transient,171.0,0,0,150+,True
City Hotel,0,124,2017,August,4,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,0,No Deposit,85,Transient,140.4,0,1,101-150,True
Resort Hotel,0,0,2016,November,0,1,0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,0,A,0,No Deposit,8,Transient,0.0,0,0,,True
City Hotel,0,40,2017,April,2,2,1,0,BB,ITA,Online TA,TA/TO,0,0,0,D,1,No Deposit,9,Transient,190.0,0,1,150+,True
Resort Hotel,0,58,2017,May,2,2,0,0,BB,GBR,Direct,Direct,0,0,0,F,0,No Deposit,250,Transient,128.0,0,0,101-150,True
City Hotel,0,24,2017,March,1,2,0,0,BB,BIH,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,91.8,0,2,51-100,True
Resort Hotel,0,84,2015,August,2,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,1,No Deposit,240,Transient,196.0,0,0,150+,True
City Hotel,0,35,2017,June,2,2,0,0,HB,ROU,Online TA,TA/TO,0,0,0,A,2,No Deposit,9,Transient,196.14,0,1,150+,True
City Hotel,1,391,2016,August,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,1,Transient,62.0,0,0,51-100,True
Resort Hotel,0,32,2016,February,2,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,115,Transient,33.3,0,0,0-50,True
Resort Hotel,0,300,2017,July,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,2,No Deposit,240,Transient-Party,149.81,1,2,101-150,True
Resort Hotel,1,334,2017,August,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,240,Transient,156.6,0,0,150+,True
City Hotel,0,22,2017,June,0,2,0,0,SC,USA,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,28,Transient,89.0,0,0,51-100,True
City Hotel,0,53,2015,August,1,2,0,0,BB,ESP,Groups,TA/TO,0,0,0,A,0,No Deposit,1,Transient-Party,62.0,0,0,51-100,True
City Hotel,1,143,2016,October,0,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,0,No Deposit,9,Transient,151.2,0,1,150+,True
Resort Hotel,0,1,2016,March,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,64.0,1,1,51-100,True
Resort Hotel,0,167,2016,June,4,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,156,Transient,66.98,0,1,51-100,True
Resort Hotel,0,1,2016,October,0,1,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,62.0,1,2,51-100,True
City Hotel,1,113,2016,June,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,192,Transient,85.0,0,0,51-100,True
City Hotel,0,122,2017,May,2,1,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,117.0,0,1,101-150,True
City Hotel,1,17,2016,June,0,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,151.0,0,1,150+,True
City Hotel,0,8,2016,July,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,0,No Deposit,0,Transient,65.0,0,1,51-100,True
Resort Hotel,1,152,2016,August,2,2,2,0,HB,PRT,Direct,Direct,0,0,0,C,1,No Deposit,250,Transient,212.14,0,0,150+,True
Resort Hotel,0,0,2016,November,0,2,0,0,BB,MAR,Direct,Direct,0,0,0,D,0,No Deposit,0,Transient,84.0,1,0,51-100,True
City Hotel,0,98,2016,July,1,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,121.5,0,2,101-150,True
City Hotel,0,1,2015,October,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,9,Contract,155.0,0,0,150+,True
City Hotel,0,0,2016,January,1,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,0,No Deposit,14,Transient,89.0,0,1,51-100,True
City Hotel,1,39,2016,June,2,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,89.1,0,0,51-100,True
City Hotel,0,89,2016,December,2,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,2,No Deposit,9,Transient,74.8,0,4,51-100,True
